Voucher #,Date,Contact ID,Vendor,Terms,Due Date,Responsible,Ref #,P.O. #,Receipt,Other 1,Line,Item ID,Description,Quantity,U/M,Price,Tax,Amount,Taxes,Total,Currency,Exchange rate,Total base,Account,Group,Tag,Memo,Inventory Location,Comments,Attachments,Approvers,Status,Approval Status,Transfer Status,Created by,Date created,Last Modified by,Date Last Modified
08312022-FULLERTON,8/31/2022,AFL Logistics LLC,AFL Logistics LLC,Net 30,9/30/2022,Accounts Payable Accounts Payable,210-WE-08-31-22,,,,1,Temp Labor - Unloading,Temp Labor - Unloading ,1,Temp Labor,5300,No,5300,,5300,None,1,5300,56180 - Temp Labor - Unloading,100.2 - Warehouse & Log - 14041,210 - Location - 210 E. Lambert Road,19,,,AFL - Invoice # 08312022 - 8-31-22 - Fullerton.pdf (https://secure.spendwise.com/attachments/OmMLFcrkLQoGzsxdhcaBmTcWZK),Luis Serrano (09/13/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,9/13/2022,Accounts Payable Accounts Payable,9/13/2022
MC0022,8/31/2022,MID CITY LEASING LLC.,MID CITY LEASING LLC.,Net 30,9/30/2022,Accounts Payable Accounts Payable,9278,,,,1,Vehicle Rental,Vehicle Rental,1,Rental,60474,Yes,60474,0,60474,None,1,60474,57600 - Vehicle Rental / Transportation,200.1 - Transportation - 11310,9278-2 - Location-9278 Charles Smith Ave.-Rancho Cucamonga,,,,Mid-City - Invoice # MC0022 - 08-31-22.pdf (https://secure.spendwise.com/attachments/pHbeyIxBgrqPzcrbWhRlxXlsRz),,Saved,none,Not transferred,Accounts Payable Accounts Payable,9/12/2022,Accounts Payable Accounts Payable,9/21/2022
148597,8/31/2022,Kamran Staffing,Kamran Staffing,Net 30,9/30/2022,Accounts Payable Accounts Payable,11937-WE-08-31-22,,,,1,Temp Labor - Regular,Temp Labor - Regular,1,Temp Labor,270.87,Yes,270.87,0,270.87,None,1,270.87,56110 - Temp Labor - Reg,105 - 1st Shift - Warehouse - Westset,11937 - Westset - 11937 Woodruff Ave. - Downey,11.98,,,Kamran - Invoice # 148597 - 08-31-22 - Cerritos -Aug..xlsx (https://secure.spendwise.com/attachments/FcVMPKtVpITiimnhesyQyxBOjp); Kamran - Invoice # 148597 - 08-31-22 - Cerritos -Aug..pdf (https://secure.spendwise.com/attachments/qmYHSykjHcbWHaYkjJnIVpyckW),Henry Valdez (09/16/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,9/12/2022,Accounts Payable Accounts Payable,9/16/2022
148576,8/31/2022,Kamran Staffing,Kamran Staffing,Net 30,9/30/2022,Accounts Payable Accounts Payable,16107-WE-08-31-22,,,,1,Temp Labor - Regular,Temp Labor - Regular,1,Temp Labor,5373.65,Yes,5373.65,0,5373.65,None,1,5373.65,56110 - Temp Labor - Reg,105 - 1st Shift - Warehouse - Westset,16107 - Location - 16107 Commerce Way - Cerritos,263.75,,,Kamran - Invoice # 148576 - 08-31-22 - Cerritos- Aug.xlsx (https://secure.spendwise.com/attachments/KrFjdkVgLakwtnNwtNvjgBTsmg); Kamran - Invoice # 148576 - 08-31-22 - Cerritos- Aug.pdf (https://secure.spendwise.com/attachments/hHBVaTsDiHVAoxjoDIlJatFZdp),Frank Guzman (pending),Saved,pending,Not transferred,Accounts Payable Accounts Payable,9/12/2022,Accounts Payable Accounts Payable,9/12/2022
148576,8/31/2022,Kamran Staffing,Kamran Staffing,Net 30,9/30/2022,Accounts Payable Accounts Payable,16107-WE-08-31-22,,,,2,Temp Labor - O/T,Temp Labor - O/T,1,Temp Labor,1369.72,Yes,1369.72,0,1369.72,None,1,1369.72,56120 - Temp Labor - O/T D/T,105 - 1st Shift - Warehouse - Westset,16107 - Location - 16107 Commerce Way - Cerritos,45,,,Kamran - Invoice # 148576 - 08-31-22 - Cerritos- Aug.xlsx (https://secure.spendwise.com/attachments/KrFjdkVgLakwtnNwtNvjgBTsmg); Kamran - Invoice # 148576 - 08-31-22 - Cerritos- Aug.pdf (https://secure.spendwise.com/attachments/hHBVaTsDiHVAoxjoDIlJatFZdp),Frank Guzman (pending),Saved,pending,Not transferred,Accounts Payable Accounts Payable,9/12/2022,Accounts Payable Accounts Payable,9/12/2022
148563,8/31/2022,Kamran Staffing,Kamran Staffing,Net 30,9/30/2022,Accounts Payable Accounts Payable,210-WE-08-31-22,,,,1,Temp Labor - Regular,Temp Labor - Regular,1,Temp Labor,3469.6,Yes,3469.6,0,3469.6,None,1,3469.6,56110 - Temp Labor - Reg,111 - 2nd Shift - Warehouse - Westset,210 - Location - 210 E. Lambert Road,155.23,,,Kamran - Invoice # 148563 - 08-31-22 - Dept111 Aug.xlsx (https://secure.spendwise.com/attachments/AMLjUxFyRMjHGauseregQGZcFC); Kamran - Invoice # 148563 - 08-31-22 - Dept111 Aug.pdf (https://secure.spendwise.com/attachments/GhPafEBQyIqWwHgbsUNbecuQYG),Luis Serrano (pending),Saved,pending,Not transferred,Accounts Payable Accounts Payable,9/12/2022,Accounts Payable Accounts Payable,9/12/2022
148563,8/31/2022,Kamran Staffing,Kamran Staffing,Net 30,9/30/2022,Accounts Payable Accounts Payable,210-WE-08-31-22,,,,2,Temp Labor - O/T,Temp Labor - O/T,1,Temp Labor,118.72,Yes,118.72,0,118.72,None,1,118.72,56120 - Temp Labor - O/T D/T,111 - 2nd Shift - Warehouse - Westset,210 - Location - 210 E. Lambert Road,3.5,,,Kamran - Invoice # 148563 - 08-31-22 - Dept111 Aug.xlsx (https://secure.spendwise.com/attachments/AMLjUxFyRMjHGauseregQGZcFC); Kamran - Invoice # 148563 - 08-31-22 - Dept111 Aug.pdf (https://secure.spendwise.com/attachments/GhPafEBQyIqWwHgbsUNbecuQYG),Luis Serrano (pending),Saved,pending,Not transferred,Accounts Payable Accounts Payable,9/12/2022,Accounts Payable Accounts Payable,9/12/2022
148561,8/31/2022,Kamran Staffing,Kamran Staffing,Net 30,9/30/2022,Accounts Payable Accounts Payable,11937-WE-08-31-22,,,,1,Temp Labor - Regular,Temp Labor - Regular,1,Temp Labor,4573.29,Yes,4573.29,0,4573.29,None,1,4573.29,56110 - Temp Labor - Reg,105 - 1st Shift - Warehouse - Westset,11937 - Westset - 11937 Woodruff Ave. - Downey,199,,,Kamran - Invoice # 148561 - 08-31-22 - Dept105 Aug.xlsx (https://secure.spendwise.com/attachments/tcutVtHURdIfDihsdSKAojNAXM); Kamran - Invoice # 148561 - 08-31-22 - Dept105 Aug.pdf (https://secure.spendwise.com/attachments/xrVuCrPCdThEezYwjjtwBWNIqI),Luis Serrano (pending),Saved,pending,Not transferred,Accounts Payable Accounts Payable,9/12/2022,Accounts Payable Accounts Payable,9/12/2022
148561,8/31/2022,Kamran Staffing,Kamran Staffing,Net 30,9/30/2022,Accounts Payable Accounts Payable,11937-WE-08-31-22,,,,2,Temp Labor - O/T,Temp Labor - O/T,1,Temp Labor,8.48,Yes,8.48,0,8.48,None,1,8.48,56120 - Temp Labor - O/T D/T,105 - 1st Shift - Warehouse - Westset,11937 - Westset - 11937 Woodruff Ave. - Downey,0.25,,,Kamran - Invoice # 148561 - 08-31-22 - Dept105 Aug.xlsx (https://secure.spendwise.com/attachments/tcutVtHURdIfDihsdSKAojNAXM); Kamran - Invoice # 148561 - 08-31-22 - Dept105 Aug.pdf (https://secure.spendwise.com/attachments/xrVuCrPCdThEezYwjjtwBWNIqI),Luis Serrano (pending),Saved,pending,Not transferred,Accounts Payable Accounts Payable,9/12/2022,Accounts Payable Accounts Payable,9/12/2022
78015,8/31/2022,Fairway Staffing,Fairway Staffiing,Net 30,9/30/2022,Accounts Payable Accounts Payable,210-WE-08-31-22,,,,1,Temp Labor - Regular,Temp Labor - Regular,1,Temp Labor,988.02,Yes,988.02,0,988.02,None,1,988.02,56110 - Temp Labor - Reg,105 - 1st Shift - Warehouse - Westset,210 - Location - 210 E. Lambert Road,45.9,,,Fairway - Invoice # 78015 - 08-31-22.pdf (https://secure.spendwise.com/attachments/YErFRZssQmGHDfLMcSqXKLquzf),Luis Serrano (pending),Saved,pending,Not transferred,Accounts Payable Accounts Payable,9/12/2022,Accounts Payable Accounts Payable,9/13/2022
78015,8/31/2022,Fairway Staffing,Fairway Staffiing,Net 30,9/30/2022,Accounts Payable Accounts Payable,210-WE-08-31-22,,,,2,Temp Labor - O/T,Temp Labor - O/T,1,Temp Labor,7.45,Yes,7.45,0,7.45,None,1,7.45,56120 - Temp Labor - O/T D/T,105 - 1st Shift - Warehouse - Westset,210 - Location - 210 E. Lambert Road,0.22,,,Fairway - Invoice # 78015 - 08-31-22.pdf (https://secure.spendwise.com/attachments/YErFRZssQmGHDfLMcSqXKLquzf),Luis Serrano (pending),Saved,pending,Not transferred,Accounts Payable Accounts Payable,9/12/2022,Accounts Payable Accounts Payable,9/13/2022
54206-TTD,8/31/2022,Workline,Workline,Net 30,9/30/2022,Accounts Payable Accounts Payable,9278-WE-08-31-22,,,,1,Temp Labor - Regular,Temp Labor - Regular,1,Temp Labor,651.42,Yes,651.42,0,651.42,None,1,651.42,56110 - Temp Labor - Reg,206 - Dispatch - Rancho,9278-2 - Location-9278 Charles Smith Ave.-Rancho Cucamonga,23.5,,,Workline - Invoice # 54206-TTD - 09.04.2022.pdf (https://secure.spendwise.com/attachments/YWNPEeIiNCpaCSjQTGKVmncISl),Derek Franco (09/16/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,9/9/2022,Accounts Payable Accounts Payable,9/16/2022
54109-TTD,8/31/2022,Workline,Workline,Net 30,9/30/2022,Accounts Payable Accounts Payable,11937-WE-08-31-22,,,,1,Temp Labor - Regular,Temp Labor - Regular,1,Temp Labor,538.56,Yes,538.56,0,538.56,None,1,538.56,56110 - Temp Labor - Reg,109 - Trans Cust Service,11937-2 - Total - 11937 Woodruff - Downey,24,,,Workline - Invoice # 54109-TTD - 09.04.2022.pdf (https://secure.spendwise.com/attachments/yVRIHhvRxAuUrNBxbKhFiPjKCT),David Revolorio (pending),Saved,pending,Not transferred,Accounts Payable Accounts Payable,9/9/2022,Accounts Payable Accounts Payable,9/9/2022
54209-TTD,8/31/2022,Workline,Workline,Net 30,9/30/2022,Accounts Payable Accounts Payable,9278-WE-08-31-22,,,,1,Temp Labor - Regular,Temp Labor - Regular,1,Temp Labor,576.84,Yes,576.84,0,576.84,None,1,576.84,56110 - Temp Labor - Reg,209 - Transportation Customer Service - Rancho,9278-2 - Location-9278 Charles Smith Ave.-Rancho Cucamonga,23,,,Workline - Invoice # 54209-TTD - 09.04.2022.pdf (https://secure.spendwise.com/attachments/CJDNjWbDKxofewOwAsViRiddwg),Derek Franco (09/16/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,9/9/2022,Accounts Payable Accounts Payable,9/16/2022
54209-TTD,8/31/2022,Workline,Workline,Net 30,9/30/2022,Accounts Payable Accounts Payable,9278-WE-08-31-22,,,,2,Temp Labor - O/T,Temp Labor - O/T,1,Temp Labor,12.41,Yes,12.41,0,12.41,None,1,12.41,56120 - Temp Labor - O/T D/T,209 - Transportation Customer Service - Rancho,9278-2 - Location-9278 Charles Smith Ave.-Rancho Cucamonga,0.33,,,Workline - Invoice # 54209-TTD - 09.04.2022.pdf (https://secure.spendwise.com/attachments/CJDNjWbDKxofewOwAsViRiddwg),Derek Franco (09/16/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,9/9/2022,Accounts Payable Accounts Payable,9/16/2022
4654,8/31/2022,LOBOS STAFFING INC.,LOBOS STAFFING INC.,Net 30,9/30/2022,Accounts Payable Accounts Payable,11937-WE-08-31-22,,,,1,Temp Labor - Regular,Temp Labor - Regular,1,Temp Labor,530.4,Yes,530.4,0,530.4,None,1,530.4,56110 - Temp Labor - Reg,109 - Trans Cust Service,11937-2 - Total - 11937 Woodruff - Downey,24,,,Lobos - Invoice # 4654 - 08-31-22.pdf (https://secure.spendwise.com/attachments/LaPHiLSHyKNwakZfvduFxBAsRA); Lobos - Invoice # 4654 - 08-31-22 - Backup.pdf (https://secure.spendwise.com/attachments/BCoyERDecCaLUiInZvKFcPZIbp),David Revolorio (pending),Saved,pending,Not transferred,Accounts Payable Accounts Payable,9/9/2022,Accounts Payable Accounts Payable,9/9/2022
231964,8/31/2022,Citistaff Solutions Inc. - Location 2,Citistaff Solutions Inc. - Location 2,Net 30,9/30/2022,Accounts Payable Accounts Payable,9278-WE-08-31-22,,,,1,Temp Labor - Regular,Temp Labor - Regular,1,Temp Labor,3635.49,Yes,3635.49,0,3635.49,None,1,3635.49,56110 - Temp Labor - Reg,205 - 1st Shift - Transportation Loading - Rancho,9278-2 - Location-9278 Charles Smith Ave.-Rancho Cucamonga,158.3,,,Citistaff - Invoice # 231964 - 09-03-22 - Backup.pdf (https://secure.spendwise.com/attachments/mWxGEAPZTMUEgLFXztYxrZJsKR); Citistaff - Invoice # 231964 - 09-03-22 - 9278.pdf (https://secure.spendwise.com/attachments/fKYSuPRxNbnqjpGlSorNvxITsq),Carlos Garcia (09/22/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,9/9/2022,Accounts Payable Accounts Payable,9/22/2022
231964,8/31/2022,Citistaff Solutions Inc. - Location 2,Citistaff Solutions Inc. - Location 2,Net 30,9/30/2022,Accounts Payable Accounts Payable,9278-WE-08-31-22,,,,2,Temp Labor - O/T,Temp Labor - O/T,1,Temp Labor,296.09,Yes,296.09,0,296.09,None,1,296.09,56120 - Temp Labor - O/T D/T,205 - 1st Shift - Transportation Loading - Rancho,9278-2 - Location-9278 Charles Smith Ave.-Rancho Cucamonga,8.37,,,Citistaff - Invoice # 231964 - 09-03-22 - Backup.pdf (https://secure.spendwise.com/attachments/mWxGEAPZTMUEgLFXztYxrZJsKR); Citistaff - Invoice # 231964 - 09-03-22 - 9278.pdf (https://secure.spendwise.com/attachments/fKYSuPRxNbnqjpGlSorNvxITsq),Carlos Garcia (09/22/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,9/9/2022,Accounts Payable Accounts Payable,9/22/2022
231964,8/31/2022,Citistaff Solutions Inc. - Location 2,Citistaff Solutions Inc. - Location 2,Net 30,9/30/2022,Accounts Payable Accounts Payable,9278-WE-08-31-22,,,,3,Temp Labor - Regular,Temp Labor - Regular,1,Temp Labor,5776.99,Yes,5776.99,0,5776.99,None,1,5776.99,56110 - Temp Labor - Reg,211 - 2nd Shift - Transportation Loading - Rancho,9278-2 - Location-9278 Charles Smith Ave.-Rancho Cucamonga,250.49,,,Citistaff - Invoice # 231964 - 09-03-22 - Backup.pdf (https://secure.spendwise.com/attachments/mWxGEAPZTMUEgLFXztYxrZJsKR); Citistaff - Invoice # 231964 - 09-03-22 - 9278.pdf (https://secure.spendwise.com/attachments/fKYSuPRxNbnqjpGlSorNvxITsq),Carlos Garcia (09/22/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,9/9/2022,Accounts Payable Accounts Payable,9/22/2022
231964,8/31/2022,Citistaff Solutions Inc. - Location 2,Citistaff Solutions Inc. - Location 2,Net 30,9/30/2022,Accounts Payable Accounts Payable,9278-WE-08-31-22,,,,4,Temp Labor - O/T,Temp Labor - O/T,1,Temp Labor,88.55,Yes,88.55,0,88.55,None,1,88.55,56120 - Temp Labor - O/T D/T,211 - 2nd Shift - Transportation Loading - Rancho,9278-2 - Location-9278 Charles Smith Ave.-Rancho Cucamonga,2.52,,,Citistaff - Invoice # 231964 - 09-03-22 - Backup.pdf (https://secure.spendwise.com/attachments/mWxGEAPZTMUEgLFXztYxrZJsKR); Citistaff - Invoice # 231964 - 09-03-22 - 9278.pdf (https://secure.spendwise.com/attachments/fKYSuPRxNbnqjpGlSorNvxITsq),Carlos Garcia (09/22/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,9/9/2022,Accounts Payable Accounts Payable,9/22/2022
231964,8/31/2022,Citistaff Solutions Inc. - Location 2,Citistaff Solutions Inc. - Location 2,Net 30,9/30/2022,Accounts Payable Accounts Payable,9278-WE-08-31-22,,,,5,Temp Labor - Regular,Temp Labor - Regular,1,Temp Labor,6895.79,Yes,6895.79,0,6895.79,None,1,6895.79,56110 - Temp Labor - Reg,215 - 3rd Shift - Transportation Loading - Rancho,9278-2 - Location-9278 Charles Smith Ave.-Rancho Cucamonga,277.05,,,Citistaff - Invoice # 231964 - 09-03-22 - Backup.pdf (https://secure.spendwise.com/attachments/mWxGEAPZTMUEgLFXztYxrZJsKR); Citistaff - Invoice # 231964 - 09-03-22 - 9278.pdf (https://secure.spendwise.com/attachments/fKYSuPRxNbnqjpGlSorNvxITsq),Carlos Garcia (09/22/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,9/9/2022,Accounts Payable Accounts Payable,9/22/2022
231964,8/31/2022,Citistaff Solutions Inc. - Location 2,Citistaff Solutions Inc. - Location 2,Net 30,9/30/2022,Accounts Payable Accounts Payable,9278-WE-08-31-22,,,,6,Temp Labor - O/T,Temp Labor - O/T,1,Temp Labor,1184.81,Yes,1184.81,0,1184.81,None,1,1184.81,56120 - Temp Labor - O/T D/T,215 - 3rd Shift - Transportation Loading - Rancho,9278-2 - Location-9278 Charles Smith Ave.-Rancho Cucamonga,31.73,,,Citistaff - Invoice # 231964 - 09-03-22 - Backup.pdf (https://secure.spendwise.com/attachments/mWxGEAPZTMUEgLFXztYxrZJsKR); Citistaff - Invoice # 231964 - 09-03-22 - 9278.pdf (https://secure.spendwise.com/attachments/fKYSuPRxNbnqjpGlSorNvxITsq),Carlos Garcia (09/22/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,9/9/2022,Accounts Payable Accounts Payable,9/22/2022
231994,8/31/2022,Citistaff Solutions Inc.- Corporate (Fullerton),Citistaff Solutions Inc.- Corporate,Net 30,9/30/2022,Accounts Payable Accounts Payable,210-WE-08-31-22,,,,1,Temp Labor - Regular,Temp Labor - Regular,1,Temp Labor,2776.13,Yes,2776.13,0,2776.13,None,1,2776.13,56110 - Temp Labor - Reg,111 - 2nd Shift - Warehouse - Westset,210 - Location - 210 E. Lambert Road,118.97,,,Citistaff - Invoice # 231994 - 08-31-22 - 210.xls (https://secure.spendwise.com/attachments/RxTeDzsmTLFjpQEvOWOjtrMfgL); Citistaff - Invoice # 231994 - 08-31-22 - 210.pdf (https://secure.spendwise.com/attachments/ioyJKOVehvrbAfsAzGFovmGvQp),Luis Serrano (pending),Saved,pending,Not transferred,Accounts Payable Accounts Payable,9/9/2022,Accounts Payable Accounts Payable,9/9/2022
231994,8/31/2022,Citistaff Solutions Inc.- Corporate (Fullerton),Citistaff Solutions Inc.- Corporate,Net 30,9/30/2022,Accounts Payable Accounts Payable,210-WE-08-31-22,,,,2,Temp Labor - O/T,Temp Labor - O/T,1,Temp Labor,301.94,Yes,301.94,0,301.94,None,1,301.94,56120 - Temp Labor - O/T D/T,111 - 2nd Shift - Warehouse - Westset,210 - Location - 210 E. Lambert Road,8.45,,,Citistaff - Invoice # 231994 - 08-31-22 - 210.xls (https://secure.spendwise.com/attachments/RxTeDzsmTLFjpQEvOWOjtrMfgL); Citistaff - Invoice # 231994 - 08-31-22 - 210.pdf (https://secure.spendwise.com/attachments/ioyJKOVehvrbAfsAzGFovmGvQp),Luis Serrano (pending),Saved,pending,Not transferred,Accounts Payable Accounts Payable,9/9/2022,Accounts Payable Accounts Payable,9/9/2022
