,Type,Date,Num,Memo,Name,Qty,Sales Price,Amount,Balance
,Invoice,2/7/2022,957,Materials Supplied,197 - Karen Pearse,1,43.5,43.5,58843.01
,Invoice,2/7/2022,880,Materials Supplied,402 Paragon Chinasia,1,942.5,942.5,59785.51
,Invoice,2/7/2022,881,Materials Supplied,403 Modern Gourmet Foods,1,2835,2835,62620.51
,Invoice,2/7/2022,963,Materials Supplied,409 WTW Inc,1,994.15,994.15,63614.66
,Invoice,2/7/2022,886,Materials Supplied,411 Maveric Medical,1,0,0,63614.66
,Invoice,2/7/2022,960,Materials Supplied,415 Textiles For You,1,101.5,101.5,63716.16
,Invoice,2/7/2022,961,Materials Supplied,426-Tractor Beverages,1,0,0,63716.16
,Invoice,2/8/2022,010JAN22,Materials Supplied,"10, Celanese",1,7.7,7.7,63723.86
,Invoice,2/8/2022,058JAN22,Materials Supplied,"58, Leather Trends, Inc.",1,0,0,63723.86
,Invoice,2/8/2022,060JAN22,Materials Supplied,"60, Loyalty Chemical",1,0,0,63723.86
,Invoice,2/8/2022,067JAN22,Materials Supplied,"67, Quality Thread",1,104,104,63827.86
,Invoice,2/8/2022,119JAN22,Materials Supplied,"119, Camsal Enterprises",1,0,0,63827.86
,Invoice,2/8/2022,179JAN22,Materials Supplied,179 - Chemtec,1,0,0,63827.86
,Invoice,2/8/2022,181JAN22,Materials Supplied,181 - Complete Sourcing Solutions,1,0,0,63827.86
,Invoice,2/8/2022,233JAN22,Materials Supplied,233 Firsd Tea North America LLC,1,0,0,63827.86
,Invoice,2/11/2022,104JAN22,Materials Supplied,104 - Foss MFG,1,130.5,130.5,63958.36
,Invoice,2/11/2022,295JAN22,Materials Supplied,295 SiLeather,1,72.5,72.5,64030.86
,Invoice,2/11/2022,139JAN22,Materials Supplied,"139, Nutraland USA",1,0,0,64030.86
,Invoice,2/11/2022,189JAN22,Materials Supplied,189 - St. Charles Trading,1,87,87,64117.86
,Invoice,2/11/2022,249JAN22,Materials Supplied,249 Centrix,1,0,0,64117.86
,Invoice,2/11/2022,257JAN22,Materials Supplied,257 Art of Tea,1,0,0,64117.86
,Invoice,2/11/2022,323JAN22,Materials Supplied,323 Amazon Health Products,1,130.5,130.5,64248.36
,Invoice,2/11/2022,013JAN22,Materials Supplied,"13, Omnova Solutions Inc. (A)",1,0,0,64248.36
,Invoice,2/11/2022,014JAN22,Materials Supplied,"14, Omnova Solutions Inc. (J)",1,67.48,67.48,64315.84
,Invoice,2/11/2022,184JAN22,Materials Supplied,184 - Worlee NaturProdukte,1,420.5,420.5,64736.34
,Invoice,2/11/2022,195JAN22,Materials Supplied,195 - Casa De Mesquite,1,0,0,64736.34
,Invoice,2/11/2022,242JAN22,Materials Supplied,242 MASTER VENTURE INC.,1,14.5,14.5,64750.84
,Invoice,2/14/2022,UNIJAN22,Materials Supplied,Unicargo,1,3668.5,3668.5,68419.34
,Invoice,2/14/2022,123JAN22,Materials Supplied,"123, PetRageous Designs",1,3333.75,3333.75,71753.09
,Invoice,2/15/2022,088JAN22,Materials Supplied,"88, Clareo International",1,0,0,71753.09
,Invoice,2/15/2022,137JAN22,Materials Supplied,"137, NVMK Sales",1,491,491,72244.09
,Invoice,2/15/2022,967,Materials Supplied,"137, NVMK Sales",1,0,0,72244.09
,Invoice,2/15/2022,878,Materials Supplied,"137, NVMK Sales",1,14.5,14.5,72258.59
,Invoice,2/15/2022,885,Materials Supplied,410 Prinova,1,5447.16,5447.16,77705.75
,Invoice,2/15/2022,209JAN22,Materials Supplied,209 - NutraChem,1,1101.5,1101.5,78807.25
,Invoice,3/1/2022,261FEB22,Materials Supplied,Mayborn,1,13477.52,13477.52,92284.77
,Invoice,3/1/2022,262FEB22,Materials Supplied,Mayborn,1,83.22,83.22,92367.99
,Invoice,3/2/2022,UNIFEB22,Materials Supplied,Unicargo,1,2088,2088,94455.99
,Invoice,3/2/2022,968,Standard Pallet 48x40,400 Joseph Joseph,1,22678,22678,117133.99
,Invoice,3/2/2022,1031,Materials Supplied,410 Prinova,1,7212.88,7212.88,124346.87
,Invoice,3/3/2022,104FEB22,Materials Supplied,104 - Foss MFG,1,43.5,43.5,124390.37
,Invoice,3/3/2022,1033,Materials Supplied,"120, Designer Pet Products",1,0,0,124390.37
,Invoice,3/3/2022,1034,Materials Supplied,314 Liquid Death,1,0,0,124390.37
,Invoice,3/3/2022,1036,Materials Supplied,403 Modern Gourmet Foods,1,2257.5,2257.5,126647.87
,Invoice,3/3/2022,1039,Materials Supplied,409 WTW Inc,1,1584.36,1584.36,128232.23
,Invoice,3/3/2022,1040,Materials Supplied,411 Maveric Medical,1,0,0,128232.23
,Invoice,3/3/2022,1041,Materials Supplied,413 UPPER CRUST,1,0,0,128232.23
,Invoice,3/3/2022,1042,Materials Supplied,307 Merritt,1,0,0,128232.23
,Invoice,3/3/2022,1044,Materials Supplied,416 Imerys,1,0,0,128232.23
,Invoice,3/3/2022,1047,Materials Supplied,426-Tractor Beverages,1,0,0,128232.23
,Invoice,3/3/2022,1048,Materials Supplied,428 Ten Acre Gifts,1,0,0,128232.23
,Invoice,3/4/2022,098FEB22,Materials Supplied,98 - CGPC America Corporation,1,3436.3,3436.3,131668.53
,Invoice,3/4/2022,046FEB22,Materials Supplied,Omya Specialty Materials Inc.,1,1355.94,1355.94,133024.47
,Invoice,3/4/2022,223FEB22,Materials Supplied,223 Distrilogik US Ltd,1,3885,3885,136909.47
,Invoice,3/4/2022,269FEB22,Materials Supplied,269 Nassimi,1,667,667,137576.47
,Invoice,3/4/2022,244FEB22,Materials Supplied,244 Doyle Farris,1,0,0,137576.47
,Invoice,3/4/2022,307FEB22,Materials Supplied,307 Merritt,1,-4,-4,137572.47
,Invoice,3/4/2022,091FEB22,Materials Supplied,"91, BenchMaster Furniture",1,101.5,101.5,137673.97
,Invoice,3/4/2022,143FEB22,Materials Supplied,"143, Barentz",1,16.76,16.76,137690.73
,Invoice,3/4/2022,041FEB22,Materials Supplied,"41, Keyston Bros.",1,838.22,838.22,138528.95
,Invoice,3/4/2022,072FEB22,Materials Supplied,"72, Crossroad Ingredients",1,1464.5,1464.5,139993.45
,Invoice,3/4/2022,136FEB22,Materials Supplied,136 Glory Wisdom,1,15,15,140008.45
,Invoice,3/4/2022,116FEB22,Materials Supplied,"116, Layn USA",1,267,267,140275.45
,Invoice,3/4/2022,087FEB22,Materials Supplied,"87, Martin Bauer",1,14.5,14.5,140289.95
,Invoice,3/7/2022,170FEB22,Materials Supplied,"170, Pacific Crest Trading Group",1,1232.5,1232.5,141522.45
,Invoice,3/7/2022,010FEB22,Materials Supplied,"10, Celanese",1,0,0,141522.45
,Invoice,3/7/2022,013FEB22,Materials Supplied,"13, Omnova Solutions Inc. (A)",1,58,58,141580.45
,Invoice,3/7/2022,014FEB22,Materials Supplied,"14, Omnova Solutions Inc. (J)",1,67.48,67.48,141647.93
,Invoice,3/7/2022,066FEB22,Materials Supplied,66 Katzkin,1,0,0,141647.93
,Invoice,3/7/2022,058FEB22,Materials Supplied,"58, Leather Trends, Inc.",1,0,0,141647.93
,Invoice,3/7/2022,086FEB22,Materials Supplied,"86, Morbern",1,420.5,420.5,142068.43
,Invoice,3/7/2022,291FEB22,Materials Supplied,Omya Specialty Materials Inc.,1,29,29,142097.43
,Invoice,3/7/2022,012FEB22,Materials Supplied,"12, Omnova Solutions Inc. (C)",1,145,145,142242.43
,Invoice,3/7/2022,073FEB22,Materials Supplied,"73, Spradling International Inc",1,783,783,143025.43
,Invoice,3/7/2022,076FEB22,Materials Supplied,"76, Divi's Laboratories, Ltd. USA Inc.",1,681.5,681.5,143706.93
,Invoice,3/7/2022,325FEB22,Materials Supplied,325 TR Nutritionals,1,465.75,465.75,144172.68
,Invoice,3/7/2022,067FEB22,Materials Supplied,"67, Quality Thread",1,138,138,144310.68
,Invoice,3/7/2022,139FEB22,Materials Supplied,"139, Nutraland USA",1,0,0,144310.68
,Invoice,3/7/2022,099FEB22,Materials Supplied,"99, Azile LLC",1,0,0,144310.68
,Invoice,3/7/2022,205FEB22,Materials Supplied,205 - Pacific Shaving,1,297.5,297.5,144608.18
,Invoice,3/8/2022,184FEB22,Materials Supplied,184 - Worlee NaturProdukte,1,0,0,144608.18
,Invoice,3/8/2022,179FEB22,Materials Supplied,179 - Chemtec,1,145,145,144753.18
,Invoice,3/8/2022,302FEB22,Materials Supplied,302 Huisong,1,189,189,144942.18
,Invoice,3/8/2022,322FEB22,Materials Supplied,322 Teco Irrigation USA,1,449.5,449.5,145391.68
,Invoice,3/8/2022,181FEB22,Materials Supplied,181 - Complete Sourcing Solutions,1,0,0,145391.68
,Invoice,3/8/2022,045FEB22,Materials Supplied,"45, Sensus America",1,0,0,145391.68
,Invoice,3/8/2022,324FEB22,Materials Supplied,324 Barrington Nutritionals,1,276.75,276.75,145668.43
,Invoice,3/8/2022,053FEB22,Materials Supplied,"53, Harten Corporation",1,-12.5,-12.5,145655.93
,Invoice,3/8/2022,233FEB22,Materials Supplied,233 Firsd Tea North America LLC,1,0,0,145655.93
,Invoice,3/8/2022,088FEB12,Materials Supplied,"88, Clareo International",1,0,0,145655.93
,Invoice,3/8/2022,189FEB22,Materials Supplied,189 - St. Charles Trading,1,232,232,145887.93
,Invoice,3/8/2022,195FEB22,Materials Supplied,195 - Casa De Mesquite,1,0,0,145887.93
,Invoice,3/8/2022,242FEB22,Materials Supplied,242 MASTER VENTURE INC.,1,0,0,145887.93
,Invoice,3/8/2022,249FEB22,Materials Supplied,249 Centrix,1,0,0,145887.93
,Invoice,3/8/2022,257FEB22,Materials Supplied,257 Art of Tea,1,14.5,14.5,145902.43
,Invoice,3/9/2022,123FEB22,Materials Supplied,"123, PetRageous Designs",1,3322,3322,149224.43
,Invoice,3/9/2022,119FEB22,Materials Supplied,"119, Camsal Enterprises",1,75.35,75.35,149299.78
,Invoice,3/9/2022,292FEB22,Materials Supplied,292 Bioriginal,1,72.5,72.5,149372.28
,Invoice,3/9/2022,295FEB22,Materials Supplied,295 SiLeather,1,145,145,149517.28
,Invoice,3/9/2022,301FEB22,Materials Supplied,301 GRANADA TILE,1,0,0,149517.28
,Invoice,3/9/2022,313FEB22,Materials Supplied,313 Logo Brand DSG,1,280,280,149797.28
,Invoice,3/9/2022,323FEB22,Materials Supplied,323 Amazon Health Products,1,58,58,149855.28
,Invoice,3/9/2022,060FEB22,Materials Supplied,"60, Loyalty Chemical",1,0,0,149855.28
,Invoice,3/9/2022,1050,Materials Supplied,412 Shugar Soapworks,1,0,0,149855.28
,Invoice,3/14/2022,209FEB22,Materials Supplied,209 - NutraChem,1,354.4,354.4,150209.68
,Invoice,3/14/2022,137FEB22,Materials Supplied,"137, NVMK Sales",1,36.1,36.1,150245.78
,Invoice,3/14/2022,1045,Materials Supplied,425 Lucky Zone WM,1,1986.5,1986.5,152232.28
,Invoice,3/14/2022,273FEB22,Materials Supplied,273 LZ Selloff,1,0,0,152232.28
,Invoice,3/14/2022,1035,Materials Supplied,402 Paragon Chinasia,1,333.5,333.5,152565.78
,Invoice,3/14/2022,1043,Materials Supplied,415 Textiles For You,1,121.98,121.98,152687.76
,Invoice,3/14/2022,045MAR22,Materials Supplied,"45, Sensus America",1,0,0,152687.76
,Invoice,3/14/2022,317FEB22,Materials Supplied,317 Pair,1,246.5,246.5,152934.26
,Invoice,3/14/2022,1049,Materials Supplied,197 - Karen Pearse,1,130.5,130.5,153064.76
,Invoice,4/1/2022,261MAR22,Materials Supplied,Mayborn,1,14333.15,14333.15,167397.91
,Invoice,4/1/2022,262MAR22,Materials Supplied,Mayborn,1,205.2,205.2,167603.11
,Invoice,4/4/2022,UNIMAR22,Materials Supplied,Unicargo,1,6394.5,6394.5,173997.61
,Invoice,4/4/2022,1056,Standard Pallet 48x40,400 Joseph Joseph,1,21895,21895,195892.61
,Invoice,4/4/2022,1121,Materials Supplied,410 Prinova,1,9289.52,9289.52,205182.13
,Invoice,4/5/2022,1122,Materials Supplied,"120, Designer Pet Products",1,0,0,205182.13
,Invoice,4/5/2022,1124,Materials Supplied,314 Liquid Death,1,0,0,205182.13
,Invoice,4/5/2022,1126,Materials Supplied,403 Modern Gourmet Foods,1,1382.5,1382.5,206564.63
,Invoice,4/5/2022,1129,Materials Supplied,409 WTW Inc,1,1417.2,1417.2,207981.83
,Invoice,4/5/2022,1132,Materials Supplied,307 Merritt,1,0,0,207981.83
,Invoice,4/5/2022,1138,Materials Supplied,426-Tractor Beverages,1,0,0,207981.83
,Invoice,4/5/2022,1139,Materials Supplied,428 Ten Acre Gifts,1,577.5,577.5,208559.33
,Invoice,4/5/2022,1134,Materials Supplied,416 Imerys,1,0,0,208559.33
,Invoice,4/6/2022,123MAR22,Materials Supplied,"123, PetRageous Designs",1,2963.5,2963.5,211522.83
,Invoice,4/6/2022,223MAR22,Materials Supplied,223 Distrilogik US Ltd,1,4900,4900,216422.83
,Invoice,4/6/2022,046MAR22,Materials Supplied,Omya Specialty Materials Inc.,1,1203.54,1203.54,217626.37
,Invoice,4/6/2022,269MAR22,Materials Supplied,269 Nassimi,1,855.5,855.5,218481.87
,Invoice,4/6/2022,209MAR22,Materials Supplied,209 - NutraChem,1,468,468,218949.87
,Invoice,4/6/2022,244MAR22,Materials Supplied,244 Doyle Farris,1,275,275,219224.87
,Invoice,4/6/2022,307MAR22,Materials Supplied,307 Merritt,1,0,0,219224.87
,Invoice,4/6/2022,091MAR22,Materials Supplied,"91, BenchMaster Furniture",1,319,319,219543.87
,Invoice,4/6/2022,143MAR22,Materials Supplied,"143, Barentz",1,14.5,14.5,219558.37
,Invoice,4/6/2022,041MAR22,Materials Supplied,"41, Keyston Bros.",1,939.72,939.72,220498.09
,Invoice,4/6/2022,072MAR22,Materials Supplied,"72, Crossroad Ingredients",1,3781,3781,224279.09
,Invoice,4/6/2022,116MAR22,Materials Supplied,"116, Layn USA",1,482.5,482.5,224761.59
,Invoice,4/6/2022,087MAR22,Materials Supplied,"87, Martin Bauer",1,87,87,224848.59
,Invoice,4/6/2022,324MAR22,Materials Supplied,324 Barrington Nutritionals,1,548,548,225396.59
,Invoice,4/8/2022,098MAR22,Materials Supplied,98 - CGPC America Corporation,1,5096.8,5096.8,230493.39
,Invoice,4/8/2022,073MAR22,Materials Supplied,"73, Spradling International Inc",1,652.5,652.5,231145.89
,Invoice,4/8/2022,233MAR22,Materials Supplied,233 Firsd Tea North America LLC,1,14.5,14.5,231160.39
,Invoice,4/8/2022,076MAR22,Materials Supplied,"76, Divi's Laboratories, Ltd. USA Inc.",1,493,493,231653.39
,Invoice,4/8/2022,313MAR22,Materials Supplied,313 Logo Brand DSG,1,332.5,332.5,231985.89
,Invoice,4/8/2022,012MAR22,Materials Supplied,"12, Omnova Solutions Inc. (C)",1,290,290,232275.89
,Invoice,4/8/2022,013MAR22,Materials Supplied,"13, Omnova Solutions Inc. (A)",1,87,87,232362.89
,Invoice,4/8/2022,014MAR22,Materials Supplied,"14, Omnova Solutions Inc. (J)",1,0,0,232362.89
,Invoice,4/8/2022,181MAR22,Materials Supplied,181 - Complete Sourcing Solutions,1,48.4,48.4,232411.29
,Invoice,4/8/2022,119MAR22,Materials Supplied,"119, Camsal Enterprises",1,89.85,89.85,232501.14
,Invoice,4/8/2022,325MAR22,Materials Supplied,325 TR Nutritionals,1,374,374,232875.14
,Invoice,4/8/2022,179MAR22,Materials Supplied,179 - Chemtec,1,0,0,232875.14
,Invoice,4/8/2022,010MAR22,Materials Supplied,"10, Celanese",1,0,0,232875.14
,Invoice,4/8/2022,302MAR22,Materials Supplied,302 Huisong,1,273,273,233148.14
,Invoice,4/8/2022,301MAR22,Materials Supplied,301 GRANADA TILE,1,0,0,233148.14
,Invoice,4/8/2022,295MAR22,Materials Supplied,295 SiLeather,1,246.5,246.5,233394.64
,Invoice,4/8/2022,189MAR22,Materials Supplied,189 - St. Charles Trading,1,43.5,43.5,233438.14
,Invoice,4/8/2022,205MAR22,Materials Supplied,205 - Pacific Shaving,1,287.15,287.15,233725.29
,Invoice,4/8/2022,291MAR22,Materials Supplied,Omya Specialty Materials Inc.,1,12.96,12.96,233738.25
,Invoice,4/8/2022,322MAR22,Materials Supplied,322 Teco Irrigation USA,1,707.44,707.44,234445.69
,Invoice,4/8/2022,067MAR22,Materials Supplied,"67, Quality Thread",1,166,166,234611.69
,Invoice,4/8/2022,058MAR22,Materials Supplied,"58, Leather Trends, Inc.",1,43.5,43.5,234655.19
,Invoice,4/8/2022,249MAR22,Materials Supplied,249 Centrix,1,0,0,234655.19
,Invoice,4/11/2022,053MAR22,Materials Supplied,"53, Harten Corporation",1,98,98,234753.19
,Invoice,4/11/2022,060MAR22,Materials Supplied,"60, Loyalty Chemical",1,0,0,234753.19
,Invoice,4/11/2022,066MAR22,Materials Supplied,66 Katzkin,1,0,0,234753.19
,Invoice,4/11/2022,088MAR22,Materials Supplied,"88, Clareo International",1,0,0,234753.19
,Invoice,4/11/2022,099MAR22,Materials Supplied,"99, Azile LLC",1,58,58,234811.19
,Invoice,4/11/2022,136MAR22,Materials Supplied,136 Glory Wisdom,1,22.5,22.5,234833.69
,Invoice,4/11/2022,139MAR22,Materials Supplied,"139, Nutraland USA",1,0,0,234833.69
,Invoice,4/11/2022,184MAR22,Materials Supplied,184 - Worlee NaturProdukte,1,0,0,234833.69
,Invoice,4/11/2022,195MAR22,Materials Supplied,195 - Casa De Mesquite,1,0,0,234833.69
,Invoice,4/11/2022,242MAR22,Materials Supplied,242 MASTER VENTURE INC.,1,0,0,234833.69
,Invoice,4/11/2022,257MAR22,Materials Supplied,257 Art of Tea,1,14.5,14.5,234848.19
,Invoice,4/11/2022,292MAR22,Materials Supplied,292 Bioriginal,1,246.5,246.5,235094.69
,Invoice,4/11/2022,323MAR22,Materials Supplied,323 Amazon Health Products,1,29,29,235123.69
,Invoice,4/11/2022,1141,Materials Supplied,412 Shugar Soapworks,1,0,0,235123.69
,Invoice,4/12/2022,1130,Materials Supplied,411 Maveric Medical,1,1505,1505,236628.69
,Invoice,4/12/2022,249APR22,Materials Supplied,249 Centrix,1,0,0,236628.69
,Invoice,4/12/2022,317MAR22,Materials Supplied,317 Pair,1,174,174,236802.69
,Invoice,4/12/2022,1136,Materials Supplied,425 Lucky Zone WM,1,1870.5,1870.5,238673.19
,Invoice,4/12/2022,273MAR22,Materials Supplied,273 LZ Selloff,1,0,0,238673.19
,Invoice,4/12/2022,1125,Materials Supplied,402 Paragon Chinasia,1,304.5,304.5,238977.69
,Invoice,4/12/2022,1133,Materials Supplied,415 Textiles For You,1,391.5,391.5,239369.19
,Invoice,4/14/2022,137MAR22,Materials Supplied,"137, NVMK Sales",1,25.3,25.3,239394.49
,Invoice,4/14/2022,1123,Materials Supplied,"137, NVMK Sales",1,677.7,677.7,240072.19
,Invoice,4/14/2022,1147,Materials Supplied,"170, Pacific Crest Trading Group",1,928,928,241000.19
,Invoice,4/14/2022,1131,Materials Supplied,413 UPPER CRUST,1,0,0,241000.19
,Invoice,4/14/2022,1148,Materials Supplied,"86, Morbern",1,261,261,241261.19
,Invoice,4/14/2022,1140,Materials Supplied,197 - Karen Pearse,1,29,29,241290.19
,Invoice,5/1/2022,179APR22FIN,Materials Supplied,179 - Chemtec,1,0,0,241290.19
,Invoice,5/2/2022,261APR22,Materials Supplied,Mayborn,1,10916.54,10916.54,252206.73
,Invoice,5/2/2022,262APR22,Materials Supplied,Mayborn,1,84.36,84.36,252291.09
,Invoice,5/3/2022,066APR22FIN,Materials Supplied,66 Katzkin,1,0,0,252291.09
,Invoice,5/3/2022,UNIAPR22,Materials Supplied,Unicargo,1,2885.5,2885.5,255176.59
,Invoice,5/3/2022,1245,Standard Pallet 48x40,400 Joseph Joseph,1,21054,21054,276230.59
,Invoice,5/5/2022,123APR22,Materials Supplied,"123, PetRageous Designs",1,2824,2824,279054.59
,Invoice,5/5/2022,223APR22,Materials Supplied,223 Distrilogik US Ltd,1,7332.5,7332.5,286387.09
,Invoice,5/5/2022,307APR22,Materials Supplied,307 Merritt,1,-4,-4,286383.09
,Invoice,5/5/2022,269APR22,Materials Supplied,269 Nassimi,1,507.5,507.5,286890.59
,Invoice,5/5/2022,072APR22,Materials Supplied,"72, Crossroad Ingredients",1,469.5,469.5,287360.09
,Invoice,5/5/2022,324APR22,Materials Supplied,324 Barrington Nutritionals,1,288,288,287648.09
,Invoice,5/5/2022,091APR22,Materials Supplied,"91, BenchMaster Furniture",1,420.5,420.5,288068.59
,Invoice,5/5/2022,087APR22,Materials Supplied,"87, Martin Bauer",1,29,29,288097.59
,Invoice,5/5/2022,010APR22,Materials Supplied,"10, Celanese",1,73.15,73.15,288170.74
,Invoice,5/5/2022,041APR22,Materials Supplied,"41, Keyston Bros.",1,577.22,577.22,288747.96
,Invoice,5/5/2022,073APR22,Materials Supplied,"73, Spradling International Inc",1,754,754,289501.96
,Invoice,5/5/2022,143APR22,Materials Supplied,"143, Barentz",1,87,87,289588.96
,Invoice,5/5/2022,325APR22,Materials Supplied,325 TR Nutritionals,1,455,455,290043.96
,Invoice,5/5/2022,322APR22,Materials Supplied,322 Teco Irrigation USA,1,329.5,329.5,290373.46
,Invoice,5/5/2022,1239,Materials Supplied,"120, Designer Pet Products",1,0,0,290373.46
,Invoice,5/5/2022,1246,Materials Supplied,402 Paragon Chinasia,1,0,0,290373.46
,Invoice,5/5/2022,1334,Materials Supplied,403 Modern Gourmet Foods,1,1417.5,1417.5,291790.96
,Invoice,5/5/2022,1250,Materials Supplied,409 WTW Inc,1,1484.82,1484.82,293275.78
,Invoice,5/5/2022,1251,Materials Supplied,410 Prinova,1,4304.74,4304.74,297580.52
,Invoice,5/5/2022,1252,Materials Supplied,411 Maveric Medical,1,17.5,17.5,297598.02
,Invoice,5/5/2022,1336,Materials Supplied,413 UPPER CRUST,1,0,0,297598.02
,Invoice,5/5/2022,1343,Materials Supplied,307 Merritt,1,0,0,297598.02
,Invoice,5/5/2022,1337,Materials Supplied,415 Textiles For You,1,130.5,130.5,297728.52
,Invoice,5/5/2022,1344,Materials Supplied,426-Tractor Beverages,1,0,0,297728.52
,Invoice,5/5/2022,1339,Materials Supplied,428 Ten Acre Gifts,1,560,560,298288.52
,Invoice,5/6/2022,098APR22,Materials Supplied,98 - CGPC America Corporation,1,4485.1,4485.1,302773.62
,Invoice,5/6/2022,317APR22,Materials Supplied,317 Pair,1,290,290,303063.62
,Invoice,5/6/2022,012APR22,Materials Supplied,"12, Omnova Solutions Inc. (C)",1,130.5,130.5,303194.12
,Invoice,5/6/2022,013APR22,Materials Supplied,"13, Omnova Solutions Inc. (A)",1,14.5,14.5,303208.62
,Invoice,5/6/2022,242APR22,Materials Supplied,242 MASTER VENTURE INC.,1,0,0,303208.62
,Invoice,5/6/2022,244APR22,Materials Supplied,244 Doyle Farris,1,275,275,303483.62
,Invoice,5/6/2022,136APR22,Materials Supplied,136 Glory Wisdom,1,203.5,203.5,303687.12
,Invoice,5/6/2022,205APR22,Materials Supplied,205 - Pacific Shaving,1,144.97,144.97,303832.09
,Invoice,5/6/2022,053APR22,Materials Supplied,"53, Harten Corporation",1,117,117,303949.09
